timestamp,global_x,global_y,global_theta,delta_x,delta_y,delta_theta,enc_left,enc_right,acc_x,acc_y,acc_z,omega_enc,omega_imu,slip_spike,k_scaled
1.777855743979848862e+09,-1.341273619527938166e-01,-7.263477784350165223e-01,2.672425324979391892e+00,-7.615315051013329950e-02,-7.712958715698482910e-03,1.985292320544104205e-01,3.230000000000000000e+02,1.512000000000000000e+03,-4.368000000000000000e+03,-2.160000000000000000e+03,1.999200000000000000e+04,4.000000000000000000e+02,3.778100000000000023e+02,2.767000000000000171e+01,4.920000000000000000e+02
1.777855744120299816e+09,-7.582985380033978318e-02,-7.402368227614618545e-01,2.860525965059948383e+00,-5.827802035357892985e-02,-1.397058884783482918e-02,1.881006400805566303e-01,3.400000000000000000e+02,1.591000000000000000e+03,-3.492000000000000000e+03,-2.400000000000000000e+01,1.813200000000000000e+04,3.846200000000000045e+02,3.864599999999999795e+02,-2.390000000000000124e+00,4.920000000000000000e+02
1.777855744260960340e+09,-7.445142662085291185e-04,-7.482528309020152202e-01,3.060359954318551789e+00,-7.436248423755209558e-02,-1.312575854893750782e-02,1.998339892586032951e-01,3.530000000000000000e+02,1.654000000000000000e+03,-4.264000000000000000e+03,1.120000000000000000e+03,1.307200000000000000e+04,3.461499999999999773e+02,3.675600000000000023e+02,-3.082999999999999829e+01,4.920000000000000000e+02
1.777855744401609421e+09,7.284394383812990703e-02,-7.323357865057811278e-01,-3.028048324195751206e+00,-7.205423267992722147e-02,-2.183577389039751890e-02,1.947770286652835137e-01,3.700000000000000000e+02,1.733000000000000000e+03,-3.456000000000000000e+03,1.192000000000000000e+03,1.613200000000000000e+04,4.166700000000000159e+02,3.897500000000000000e+02,3.222999999999999687e+01,4.920000000000000000e+02
1.777855744543511391e+09,1.364769605226788807e-01,-7.081392490104031490e-01,-2.835078256429535148e+00,-6.596474882634040249e-02,-1.683107695363392567e-02,1.929700677662162800e-01,3.830000000000000000e+02,1.797000000000000000e+03,-5.092000000000000000e+03,-7.960000000000000000e+02,1.919200000000000000e+04,4.000000000000000000e+02,3.538999999999999773e+02,5.747999999999999687e+01,4.920000000000000000e+02
1.777855744680736542e+09,1.905075193967152303e-01,-6.286299089036128107e-01,-2.641250847205378616e+00,-7.550318999985738966e-02,-5.950046013522441307e-02,1.938274092241565050e-01,4.000000000000000000e+02,1.875000000000000000e+03,1.012000000000000000e+03,-3.292000000000000000e+03,1.367600000000000000e+04,4.000000000000000000e+02,3.616499999999999773e+02,4.782000000000000028e+01,4.920000000000000000e+02
1.777855744821983337e+09,2.420133530672636812e-01,-5.861668518252506344e-01,-2.465574424572112733e+00,-6.556278870789337965e-02,-1.254921732151356543e-02,1.756764226332658829e-01,4.170000000000000000e+02,1.955000000000000000e+03,-4.052000000000000000e+03,9.840000000000000000e+02,1.848800000000000000e+04,3.600000000000000000e+02,3.493299999999999841e+02,1.477999999999999936e+01,4.920000000000000000e+02
1.777855744962270737e+09,2.743327119688199200e-01,-5.241108842448277683e-01,-2.282726608878861807e+00,-6.403928882783647969e-02,-2.818605255396748263e-02,1.828478156932511756e-01,4.310000000000000000e+02,2.019000000000000000e+03,9.840000000000000000e+02,-1.468000000000000000e+03,1.295200000000000000e+04,4.000000000000000000e+02,3.668500000000000227e+02,4.132999999999999829e+01,4.920000000000000000e+02
1.777855745103236675e+09,3.125736554276326018e-01,-4.627441738722904430e-01,-2.117566471464335631e+00,-7.144354494332347261e-02,-1.113834747609810695e-02,1.651601374145260648e-01,4.470000000000000000e+02,2.097000000000000000e+03,-6.156000000000000000e+03,-1.180000000000000000e+03,1.892800000000000000e+04,3.600000000000000000e+02,3.604599999999999795e+02,-6.400000000000000133e-01,4.920000000000000000e+02
1.777855745243748665e+09,3.424843931235218020e-01,-3.957276949802969734e-01,-1.937213559519942452e+00,-7.279754999061927023e-02,-9.293943617032559418e-03,1.803529119443932072e-01,4.610000000000000000e+02,2.161000000000000000e+03,-6.336000000000000000e+03,-1.248000000000000000e+03,1.874400000000000000e+04,3.846200000000000045e+02,3.487300000000000182e+02,4.653000000000000114e+01,4.920000000000000000e+02
1.777855745384528875e+09,3.552533367672108255e-01,-3.340237246580227692e-01,-1.734938325727173769e+00,-6.218263741601735145e-02,-1.018555247867867185e-02,2.022752337927685995e-01,4.780000000000000000e+02,2.241000000000000000e+03,-9.764000000000000000e+03,1.272000000000000000e+03,2.050400000000000000e+04,4.166700000000000159e+02,3.758199999999999932e+02,4.889000000000000057e+01,4.920000000000000000e+02
