timestamp,global_x,global_y,global_theta,delta_x,delta_y,delta_theta,enc_left,enc_right,acc_x,acc_y,acc_z
1.777774999511686802e+09,-5.801078787960773919e-01,-4.778674935359981668e-01,1.367434895108619042e+00,-8.780171533853764476e-02,-9.114351639568342434e-03,1.465871585682830269e-01,5.280000000000000000e+02,8.230000000000000000e+02,1.100000000000000000e+01,5.840000000000000000e+02,2.655000000000000000e+03
1.777774999655688286e+09,-5.659261611626361654e-01,-5.406501843303094246e-01,1.499716357320782567e+00,-5.862476526757809392e-02,-2.656923551271463471e-02,1.322814622121634420e-01,5.737100000000000364e+02,8.950000000000000000e+02,1.835000000000000000e+03,-3.720000000000000000e+02,-3.037000000000000000e+03
1.777774999802831650e+09,-5.584010540506928466e-01,-6.195783069947414790e-01,1.649003445329844331e+00,-7.819438577925183487e-02,-1.311159094020841569e-02,1.492870880090617636e-01,6.262899999999999636e+02,9.790000000000000000e+02,-1.813000000000000000e+03,-2.400000000000000000e+02,-1.281000000000000000e+03
1.777774999951737165e+09,-5.495974166979118447e-01,-6.918647683676500959e-01,1.790555585900648561e+00,-7.275331472007399991e-02,-3.129173325036823262e-03,1.415521405708043412e-01,6.720000000000000000e+02,1.052000000000000000e+03,-4.330000000000000000e+02,-1.884000000000000000e+03,-9.370000000000000000e+02
1.777775000094849110e+09,-5.184182904866897479e-01,-7.554621712111143639e-01,1.914643680912094359e+00,-6.886476621330422931e-02,-1.656537153571028403e-02,1.240880950114456732e-01,7.200000000000000000e+02,1.124000000000000000e+03,-1.381000000000000000e+03,-2.320000000000000000e+02,-6.450000000000000000e+02
1.777775000241917133e+09,-4.776873332682357032e-01,-8.220769695270088162e-01,2.054241237642116413e+00,-7.644636096582028972e-02,-1.589012667294737585e-02,1.395975567300223041e-01,7.657100000000000364e+02,1.197000000000000000e+03,-1.213000000000000000e+03,1.876000000000000000e+03,6.531000000000000000e+03
1.777775000386000395e+09,-4.372069665721849407e-01,-8.828781219373471600e-01,2.196959707791101390e+00,-7.264984367281367150e-02,-7.578946931312481594e-03,1.427184701489848939e-01,8.137100000000000364e+02,1.270000000000000000e+03,-1.601000000000000000e+03,2.040000000000000000e+02,-1.453000000000000000e+03
1.777775000534116030e+09,-3.831085420185056378e-01,-9.322404538077609937e-01,2.335671557745964577e+00,-7.170126195456132112e-02,-1.490665559400820156e-02,1.387118499548632145e-01,8.662899999999999636e+02,1.356000000000000000e+03,1.747000000000000000e+03,-9.720000000000000000e+02,6.470000000000000000e+02
1.777775000680720329e+09,-3.240276065129306104e-01,-9.852967419398277471e-01,2.479935518913990222e+00,-7.918887013494692317e-02,-5.886382362479968683e-03,1.442639611680253953e-01,9.142899999999999636e+02,1.430000000000000000e+03,4.231000000000000000e+03,-2.180000000000000000e+03,-4.429000000000000000e+03
1.777775000824765921e+09,-2.645626170814915912e-01,-1.039282241738694434e+00,2.634865752658451132e+00,-8.008644566830119826e-02,6.056432682100888407e-03,1.549302337444610489e-01,9.600000000000000000e+02,1.502000000000000000e+03,1.310000000000000000e+02,2.640000000000000000e+02,-1.325000000000000000e+03
1.777775000973012686e+09,-1.971139471733760196e-01,-1.074810579011474587e+00,2.800368043810949725e+00,-7.621545736701623719e-02,-1.670293411014156949e-03,1.655022911524984819e-01,1.005710000000000036e+03,1.575000000000000000e+03,-4.610000000000000000e+02,4.800000000000000000e+02,-3.749000000000000000e+03
1.777775001119871140e+09,-1.167611433902635831e-01,-1.069216888358955897e+00,2.896711755228944085e+00,-7.384822827205275719e-02,-3.216056019416058120e-02,9.634371141799445704e-02,1.058289999999999964e+03,1.659000000000000000e+03,2.111000000000000000e+03,-1.216000000000000000e+03,4.700000000000000000e+01
1.777775001264889956e+09,-4.015069236762493221e-02,-1.073877199221774159e+00,3.049003572875074841e+00,-7.545472007305738249e-02,-1.405222124529641702e-02,1.522918176461307560e-01,1.106289999999999964e+03,1.732000000000000000e+03,-8.290000000000000000e+02,3.200000000000000000e+01,4.087000000000000000e+03
1.777775001411818266e+09,4.315170387233431548e-02,-1.083307145624592405e+00,-3.078123927315615127e+00,-8.381744956158333759e-02,1.687678130046035320e-03,1.560578069888965413e-01,1.152000000000000000e+03,1.804000000000000000e+03,2.331000000000000000e+03,-9.600000000000000000e+02,-3.797000000000000000e+03
1.777775001559122086e+09,1.149702684914264972e-01,-1.055443556864799959e+00,-2.942658819119381430e+00,-7.344123996978189906e-02,-2.325231330905530580e-02,1.354651081962336967e-01,1.195430000000000064e+03,1.877000000000000000e+03,5.190000000000000000e+02,-6.520000000000000000e+02,-4.257000000000000000e+03
1.777775001705647707e+09,1.908277172910710640e-01,-1.028719603920922765e+00,-2.786078269776798066e+00,-7.964267831478455406e-02,-1.120562315023202957e-02,1.565805493425833916e-01,1.241140000000000100e+03,1.949000000000000000e+03,7.230000000000000000e+02,5.600000000000000000e+01,-3.417000000000000000e+03
1.777775001856405020e+09,2.578648240467837360e-01,-9.979339997200707968e-01,-2.629543800730758552e+00,-7.356073976702809381e-02,-5.526723542562958849e-03,1.565344690460393762e-01,1.296000000000000000e+03,2.035000000000000000e+03,-2.170000000000000000e+02,-4.040000000000000000e+02,9.830000000000000000e+02
1.777775001998964310e+09,3.139362112111633851e-01,-9.457485774692898639e-01,-2.479143311909837610e+00,-7.444880601004941201e-02,-1.801926851201564664e-02,1.504004888209209689e-01,1.341710000000000036e+03,2.107000000000000000e+03,-2.569000000000000000e+03,7.560000000000000000e+02,9.950000000000000000e+02
1.777775002145195246e+09,3.748711699541752984e-01,-8.868855039389853534e-01,-2.349836082491480571e+00,-8.425022342600892167e-02,-8.934790155018626154e-03,1.293072294183572890e-01,1.387430000000000064e+03,2.180000000000000000e+03,1.371000000000000000e+03,1.704000000000000000e+03,9.230000000000000000e+02
1.777775002291778803e+09,4.258460550670013500e-01,-8.075961843460058853e-01,-2.203476945382359276e+00,-9.223614342409539035e-02,-1.943525044945834668e-02,1.463591371091213511e-01,1.433140000000000100e+03,2.253000000000000000e+03,-1.541000000000000000e+03,7.200000000000000000e+02,7.230000000000000000e+02
